Subgraph,Sentence
<S> <H> Negative peers <POS> <T> Peers' coping through substance use <H> Negative peers <POS> <T> Peers you can talk to <H> Negative peers <POS> <T> Substance abuse <H> Peers' coping through substance use <POS> <T> (Unhealthy) coping strategies <E>,"Although negative peers are the peers you can talk to, they also likely increase chances of substance abuse giving growth to unhealthy coping strategies."
<S> <H> Physical disability <NEG> <T> Ability to connect <H> Physical disability <POS> <T> Burdensomness <H> Physical disability <POS> <T> Chronic pain <E>,Physical disability reduces the ability to connect while inducing burdensomeness and chances of chronic pain.
"<S> <H> High-poverty, high-minority disinvested neighborhood <NEG> <T> School funding <H> High-poverty, high-minority disinvested neighborhood <NEG> <T> Local job opportunities <H> School funding <POS> <T> Education to get jobs <H> Local job opportunities <POS> <T> Parental income from employment <E>","High-poverty, high-minority disinvested neighborhood reduces school funding and local job opportunities which are important for improvement in literacy and income in a community."
<S> <H> Policies promoting access to healthcare service and delivery <POS> <T> Access to services <E>,Emphasis on policies to promote access to healthcare services and delivery will increase the access.
<S> <H> Car ownership <POS> <T> Access to services <E>,Car ownership is important for access to services.
<S> <H> Child welfare intervention <POS> <T> Being in foster care <E>,child's welfare intervention increases the likelihood of being in foster care.
<S> <H> Cultural norms supportive of spanking <POS> <T> Policy and cultural risk factors <H> Policy and cultural risk factors <POS> <T> ACEs <E>,Cultural norms supportive of spanking increases policy and cultural risk factors which further increases ACEs.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <H> Suicide ideation <POS> <T> Suicide planning <H> Suicide ideation <POS> <T> Visit to the ER <H> Suicide attempt <POS> <T> Suicide treatment <E>,Suicide ideation can increases the chances of suicide attempt and planning. It also enforces the chances of visiting the ER and getting suicide treatment.
<S> <H> Coping Skills/Resilience <NEG> <T> Suicide ideation <E>,Coping Skills/Resilience are important to decrease suicide ideation.
<S> <H> Worst ACE experienced <POS> <T> Perceived ACE severity <H> Perceived ACE severity <POS> <T> ACEs <E>,Worst ACE experienced increases the severity of perceived ACEs.
<S> <H> Household Income <POS> <T> Income/person supported in the household <H> Income/person supported in the household <NEG> <T> Parental risk factors <E>,Household income increases the income and support in the household which can reduce parental risk factors.
<S> <H> Engaging in conflicts <POS> <T> Suicide attempt <E>,Engaging in conflicts is likely to drive up suicide attempts.
<S> <H> Suicide planning <POS> <T> Execution of suicide plan <H> Suicide planning <POS> <T> Suicide attempt <E>,Increase in suicide planning increases its likelihood of suicide attempts.
<S> <H> Rural <POS> <T> Low socio-economic status of the neighbourhood <H> Rural <POS> <T> Poverty <H> Rural <POS> <T> Substance abuse <H> Low socio-economic status of the neighbourhood <NEG> <T> Access to healthcare <H> Low socio-economic status of the neighbourhood <POS> <T> Identity is outside the socially accepted norm in the community <H> Low socio-economic status of the neighbourhood <POS> <T> Involvement in violence <H> Poverty <POS> <T> Risks in broader environment <H> Access to healthcare <NEG> <T> Neighbourhood risk factors <E>,"Living in a rural area reduces Socioeconomic status of the neighbourhood and also drives up poverty and substance abuse. Low Socioeconomic status decreases the access to healthcare, the individuals' identity and increases the likelihood of involvement in violence. On the other hand poverty increases suicide risks factors."
<S> <H> Reactive act of suicide <NEG> <T> Lethality <H> Reactive act of suicide <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Death by suicide <H> Suicide attempt <POS> <T> Survived an attempt <H> Survived an attempt <POS> <T> ACEs <H> Survived an attempt <POS> <T> Therapy <H> Survived an attempt <POS> <T> Removal of access to means <H> Removal of access to means <POS> <T> Looking for (new) means <E>,Reactive act of suicide reduces lethality while increasing suicide attempts. This increases the chances of death and also likely increases adverse childhood experiences (ACEs). This requires increase in therapy and removal of access to means of suicide.
<S> <H> Knowing where and how to get help <POS> <T> Help-seeking behaviors <E>,Knowing where and how to get help grows help-seeking behaviors in people.
<S> <H> Mental health problems <POS> <T> Child risk factors <H> Mental health problems <POS> <T> Treatment of mental health issues <H> Mental health problems <POS> <T> Substance use <H> Substance use <POS> <T> Suicide ideation <E>,"Mental health problems increases child's risk factors and probability of substance use, which can further increase suicide ideation."
<S> <H> Isolation <NEG> <T> Ability to safe life by treatment <H> Isolation <NEG> <T> Connectedness <H> Connectedness <POS> <T> Access to immediate effective clinical care <H> Connectedness <NEG> <T> Homelessness <E>,Isolation reduces the ability to safe life by treatment and connectedness. Connection is important for access to immediate effective clinical care and reduce the likelihood of homelessness.
<S> <H> Parental stress <POS> <T> ACEs <H> Parental stress <POS> <T> Household Challenges <H> Household Challenges <POS> <T> Parental risk factors <E>,Parental stress can increase ACEs and swell household challenges which can further worsen parental risk factors.
<S> <H> Access to services <NEG> <T> Suicide ideation <H> Suicide ideation <POS> <T> Mental health disorders <H> Mental health disorders <NEG> <T> Help-seeking behaviors <E>,Access to services reduces the chances of suicide ideation and also mental health disorders. Mental health disorders can lower help-seeking behaviors.
<S> <H> Child risk factors <POS> <T> ACEs <H> ACEs <NEG> <T> Good education in early childhood <H> ACEs <NEG> <T> Quality of health <H> Good education in early childhood <POS> <T> Ability to connect <E>,child's risk factors increase adverse childhood experiences (ACEs) which can impact education in early childhood and quality of health which is important for ability to connect.
<S> <H> Capacity for suicide <POS> <T> Suicide ideation <E>,Capacity for suicide increases suicide ideation.
<S> <H> Parents' substance use <POS> <T> Household challenges <E>,Parents' substance use increases household challenges.
<S> <H> Rural <POS> <T> Multi-generational despair <H> Multi-generational despair <POS> <T> Acceptance of one's identity <H> Acceptance of one's identity <NEG> <T> Identity conflict <E>,Rural lifestyle can help enforce multi-generational despair which can reduce acceptance of one's identity hence increasing identity conflict.
<S> <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide planning <POS> <T> Suicide ideation <E>,Suicide attempt increases planning while reinforcing suicide ideation.
<S> <H> ACEs <POS> <T> Internalized response to trauma <E>,ACEs increase internalized response to trauma.
<S> <H> School violence and bullying <POS> <T> School risk factors <E>,School violence and bullying is a great factor of school risk factors.
<S> <H> Structural racism <POS> <T> Devaluation of one's identity <H> Devaluation of one's identity <POS> <T> Invalidation <E>,Structural racism increases devaluation of one's identity hence causing to grow the feeling of invalidation.
<S> <H> Arrest of parent <POS> <T> Incarceration of parent <H> Incarceration of parent <NEG> <T> Parental income from employment <E>,Arrest of parent increases the chances of their incarceration which can reduce their income from employment.
<S> <H> Neighborhood stress on family <POS> <T> ACEs <E>,Neighborhood stress on family increases the likelihood of ACEs.
<S> <H> Parent’s substance use <POS> <T> ACEs <H> Parent’s substance use <POS> <T> Household Challenges <H> Parent’s substance use <POS> <T> Parental risk factors <H> Parental risk factors <POS> <T> Parental stress <E>,"Parent’s substance use gives rise to ACEs, household challenges and parental risk factors while increasing parental stress."
<S> <H> Parental stress <POS> <T> ACEs <H> ACEs <POS> <T> Brain development problems <H> ACEs <POS> <T> Impulsivity <H> Brain development problems <POS> <T> Developmental disorders and delays <H> Developmental disorders and delays <POS> <T> Cost of specialized childcare expenses and services <H> Developmental disorders and delays <POS> <T> Marital relationship stress <E>,Parental stress increases ACEs which can induce brain development problems and impulsivity. This can give rise to developmental disorders and delays and cost of specialized childcare expenses and services which in the future gives rise to marital relationship stress.
<S> <H> (Unhealthy) coping strategies <POS> <T> Self-harm <H> Self-harm <POS> <T> Increased willingness to apply pain to one self <H> Increased willingness to apply pain to one self <POS> <T> Capacity for suicide <H> Capacity for suicide <POS> <T> Suicide ideation <E>,Unhealthy coping strategies induces self-harm and hence increasing willingness to apply pain to oneself. Self pain is a huge factor towards the capacity for suicide while also increasing suicide ideation.
<S> <H> Frustrated stress response in parents <POS> <T> Child abuse or neglect <H> Child abuse or neglect <POS> <T> ACEs <E>,Frustrated stress response in parents increases child's abuse or neglect while also increasing ACEs.
<S> <H> Undetected attempts by agents of change <NEG> <T> Externally sought medical help <H> Externally sought medical help <POS> <T> Visit to the ER <E>,Undetected attempts by agents of change can reduce externally sought medical help which is likely to increase visit to the ER.
<S> <H> Number of children in home <NEG> <T> Income/person supported in the household <E>,Number of children in home reduces the income or person supported in the household.
<S> <H> Peers you can talk to <POS> <T> Protective environment <E>,Peers you can talk to will likely increase the protective environment.
<S> <H> Suicide attempt <POS> <T> Parental frustration <H> Parental frustration <POS> <T> ACEs <H> Parental frustration <POS> <T> Parents' coping via substance use <E>,Suicide attempt is likely increasing parental frustration which can give rise to ACEs and parents' coping via substance use.
<S> <H> Barriers to accessing mental health treatment for the individual <NEG> <T> Mental health treatment <H> Barriers to accessing mental health treatment for the individual <POS> <T> Suicide ideation <E>,Barriers to accessing mental health treatment reduces the chances of mental health treatment for an individual while increasing suicide ideation.
<S> <H> In-patient treatment <POS> <T> Long stay <H> In-patient treatment <POS> <T> Mental health treatment <H> Mental health treatment <NEG> <T> Mental health disorders <E>,Increase in in-patient treatment increases Long stay and also mental health treatment. Mental health treatment help reduce mental health disorders.
<S> <H> Re-enactment of parental's ACEs <POS> <T> Invalidating family environment <E>,Re-enactment of parental's ACEs increases the chances of invalidating family environment.
<S> <H> Perceived ACE severity <POS> <T> ACEs <H> Perceived ACE severity <POS> <T> Cumulative trauma <E>,Perceived ACE severity is a factor of ACEs and also cumulative trauma.
<S> <H> Chronic exposure to unsafe messaging <POS> <T> Feeling of insecurity <E>,Chronic exposure to unsafe messaging is likely to increase feeling of insecurity.
<S> <H> Suicide planning <POS> <T> Delayed plan <H> Suicide planning <POS> <T> Suicide attempt <E>,Increase in suicide planning increases the suicide attempt.
<S> <H> Toxic stress <POS> <T> Reactive act of suicide <E>,Toxic stress is likely going to increase reactive act of suicide.
<S> <H> Internalized parental shame <POS> <T> Parents' defensiveness <E>,Internalized parental shame increases parents' defensiveness.
<S> <H> Sexual minority <POS> <T> Feeling that your group is not valued <H> Feeling that your group is not valued <POS> <T> Burdensomness <E>,Sexual minority increases the feeling that your group is not valued which can increase the feeling of burdensomeness in the individual.
<S> <H> Parent’s substance use <POS> <T> Internalized parental shame <H> Internalized parental shame <NEG> <T> Help-seeking behaviors <H> Internalized parental shame <POS> <T> Parents' defensiveness <E>,Parent’s substance use gives rise to internalized parental shame. Parental shame reduces help-seeking behaviors while increasing parents' defensiveness.
<S> <H> Parental involvement <POS> <T> Externally sought medical help <E>,Parental involvement increases externally sought medical help.
<S> <H> Policies on responsible suicide awareness <NEG> <T> Imitating a suicidal behavior <E>,Increase in policies on responsible suicide awareness reduces the chances of imitating a suicidal behavior.
<S> <H> Disabilities <POS> <T> Child risk factors <E>,Disabilities is likely to increase child's risk factors.
<S> <H> Untreated parental mental health issue <POS> <T> Treatment of parental mental health issue <H> Untreated parental mental health issue <POS> <T> Parental risk factors <E>,Untreated parental mental health issue can require to increase treatment for parental mental health issue because it increases parental risk factors.
<S> <H> Epi-genetic effects on parents <NEG> <T> Positive parenting practices <E>,Epi-genetic effects on parents reduces positive parenting practices.
<S> <H> Suicide ideation <POS> <T> Ruminative thoughts about dying <H> Ruminative thoughts about dying <POS> <T> Anxiety <E>,Suicide ideation increases ruminative thoughts about dying which further increases anxiety.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,Suicide ideation increases the chances of suicide attempt.
<S> <H> Health insurance <POS> <T> Mental health treatment <H> Health insurance <POS> <T> Substance use treatment <E>,Rise in health insurance increases mental health and substance use treatment facilities.
<S> <H> Parents experienced corporal punishments as kids <POS> <T> Parents' use of corporal punishment <E>,Parents experienced corporal punishments as kids increases the chances of parents' use of corporal punishment.
<S> <H> Community violence <POS> <T> Neighborhood stress on family <H> Neighborhood stress on family <POS> <T> ACEs <E>,Community violence increases the neighborhood stress on family which further enforces ACEs in the community.
<S> <H> Local job opportunities <POS> <T> Parental income from employment <E>,Increase in local job opportunities increases parental income from employment.
<S> <H> Gentrification <POS> <T> Relocation of existing services <E>,Gentrification gives rise to relocation of existing services.
<S> <H> Suicide attempt <POS> <T> Lethality of method <H> Suicide attempt <POS> <T> Suicide fatality <H> Lethality of method <NEG> <T> Ability to safe life by treatment <E>,"Increase in suicide attempts increases the lethality of the methods used while also increasing suicide fatality, which reduces the ability to safe life by treatment."
<S> <H> Impulse control problems <POS> <T> Behavioral problems <H> Behavioral problems <POS> <T> Child risk factors <H> Child risk factors <POS> <T> ACEs <E>,Impulse control problems increases behavioral problems which further enforces child's risk factors and ACEs.
<S> <H> Trained teachers on suicide <POS> <T> Externally sought medical help <E>,Increase in trained teachers on suicide gives rise to externally sought medical help.
<S> <H> Disruptive behaviors <POS> <T> Child risk factors <H> Disruptive behaviors <POS> <T> Engaging in conflicts <H> Engaging in conflicts <POS> <T> Harsh discipline <E>,Disruptive behaviors likely increase child's risk factors and chances of engaging in conflicts which further gives rise to harsh discipline.
<S> <H> Behavioral problems <POS> <T> Child risk factors <H> Behavioral problems <POS> <T> Child escalation of conflicts <H> Child risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Impulse control problems <E>,Behavioral problems increases child's risk factors and escalation of conflicts which escalates adverse childhood experiences ACEs and hence the impulse control problems.
<S> <H> Parents experienced corporal punishments as kids <POS> <T> Parents' use of corporal punishment <E>,Parents experienced corporal punishments as kids increases the likelihood of the use of corporal punishment as well on their kids.
<S> <H> Local job opportunities <POS> <T> Parental income from employment <E>,Local job opportunities increases parental income from employment.
<S> <H> Access to mental health care <POS> <T> Treatment of mental health issues <H> Access to mental health care <POS> <T> Treatment of parental mental health issue <E>,Increase in access to mental health care increases the chances for treatment of mental health issues.
<S> <H> Parental stress <POS> <T> ACEs <H> Parental stress <POS> <T> Parental perpetration of ACE <E>,Parental stress increases the chances of ACEs while also inducing parental perpetration of ACE.
<S> <H> ACEs of parents <POS> <T> Parental risk factors <E>,ACEs of parents can further increase parental risk factors.
<S> <H> Family history of suicides <POS> <T> Single parent household <E>,Family history of suicides will likely give rise to single parent household.
<S> <H> Invalidation <POS> <T> Toxic stress <E>,Feeling of invalidation enforces toxic stress.
<S> <H> Fighting in the house <POS> <T> Family risk factors <E>,Fighting in the house is likely to increase family risk factors.
<S> <H> Involvement with the justice system <POS> <T> ACEs <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Involvement with the justice system <POS> <T> Sentence severity <E>,"Increase in involvement with the justice system can increase adverse childhood experiences (ACEs), contact with other individuals in the justice system and also sentence severity."
<S> <H> Societal risk factors <POS> <T> ACEs <E>,Increase in societal risk factors increases ACEs.
<S> <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,Engaging in externalizing behaviors increases the chances of getting labeled at school.
<S> <H> Parental addiction <NEG> <T> Parental involvement <E>,Parental addiction to substance reduces their involvement.
<S> <H> Supervised internet access <NEG> <T> Ability to identify suicide methods <E>,Supervised internet access will likely decrease the child's ability to identify suicide methods.
<S> <H> Suicide attempt <POS> <T> Lethality of method <H> Suicide attempt <POS> <T> Suicide fatality <H> Lethality of method <NEG> <T> Ability to safe life by treatment <E>,"Higher the suicide attempts, higher  is the lethality of the methods and hence suicide fatality which will likely reduce the ability to save life by treatment."
<S> <H> Brain development problems <POS> <T> Mental health problems <E>,Increase in brain development problems increases the mental health problems.
<S> <H> Stress <POS> <T> Positive handling of stress <H> Stress <POS> <T> Toxic stress <H> Positive handling of stress <POS> <T> Resilience <E>,Stress increases toxic stress while decreasing the ability of positive handling of stress while which is important for resilience.
<S> <H> School struggle <POS> <T> Experiences of failure <H> Experiences of failure <POS> <T> Peer conflict <E>,School struggle will increase the experiences of failure and also peer conflict.
<S> <H> Parental paid leave <POS> <T> Economic support for families <H> Parental paid leave <NEG> <T> Parental stress <E>,Parental paid leave will help increase economic support for families and lower parental stress.
<S> <H> Parental perpetration of ACE <POS> <T> ACEs <E>,Parental perpetration of adverse childhood experience (ACE) escalates ACEs.
<S> <H> Achieving financial security via home ownership <NEG> <T> Stress of housing insecurity <E>,Achieving financial security via home ownership reduces the stress of housing insecurity.
<S> <H> Neighborhood violence <POS> <T> ACEs <H> Neighborhood violence <POS> <T> Unsafe to go outside <H> Unsafe to go outside <POS> <T> Exposure to family stressors <E>,Neighborhood violence increase adverse childhood experiences (ACEs) by creating an unsafe environment to go outside which increases exposure to family stressors.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <H> Suicide ideation <POS> <T> Suicide planning <E>,Suicide ideation increases chances of suicide attempt and suicide planning.
<S> <H> Access to health care services <POS> <T> Removal from care services <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Removal from care services <POS> <T> Family risk factors <E>,Access to health care services will increase the rate of removal from care services which increase experienced negative treatment experiences and also family risk factors.
<S> <H> Cumulative trauma <POS> <T> Engaging in externalizing behaviors <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,Cumulative trauma increases the chances of engaging in externalizing behaviors which further expands probability of getting labeled at school.
<S> <H> Emotional distress/pain <POS> <T> Feeling in pain and trapped <H> Emotional distress/pain <POS> <T> Clinical depression <H> Emotional distress/pain <POS> <T> Alcohol and drugs consumption <H> Clinical depression <NEG> <T> Coping skills (cognitive & emotional regulation) <E>,"Emotional distress and pain gives rise to feeling of being in pain and trapped and increases clinical depression, alcohol and drugs consumption which reduces coping skills (cognitive & emotional regulation)."
<S> <H> Family financial stress <NEG> <T> Access to services <H> Family financial stress <POS> <T> ACEs <H> Family financial stress <POS> <T> Distress <H> Access to services <POS> <T> Housing stability <H> ACEs <POS> <T> Suicide ideation <H> Housing stability <NEG> <T> Homelessness <E>,"Family financial stress reduces access to services and increases ACEs, distress which can reduce housing stability giving rise to suicide ideation and  homelessness."
<S> <H> Isolation <POS> <T> Suicide attempt <E>,Isolation increases suicide attempt.
<S> <H> ACEs of parents <POS> <T> Parental risk factors <E>,Adverse childhood experiences (ACEs) of parents increases their risk factors.
<S> <H> Positive peers <NEG> <T> Toxic stress <H> Positive peers <POS> <T> Peers you can talk to <H> Peers you can talk to <POS> <T> Protective environment <E>,Positive peers is important to reduce toxic stress and extend protective environment.
<S> <H> Ruminative thoughts about dying <POS> <T> Mental health disorders <H> Ruminative thoughts about dying <POS> <T> Reduced fear of death <H> Mental health disorders <POS> <T> Suicide ideation <E>,Ruminative thoughts about dying gives rise to mental health disorders which also increases reduced fear of death and hence suicide ideation.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,Higher suicide ideation leads to higher suicide attempt.
<S> <H> Discriminatory hiring practices <NEG> <T> Employment <H> Employment <POS> <T> Parental income from employment <E>,Discriminatory hiring practices reduces probability of getting employment which is important for parental income from employment.
<S> <H> Hopelessness <POS> <T> Traumatic experience of the ACE <E>,Hopelessness increases the chances of traumatic experience of the adverse childhood experience (ACE).
<S> <H> Stigma of asking for help <NEG> <T> Help-seeking behaviors <H> Help-seeking behaviors <POS> <T> Access to mental health care <E>,High stigma of asking for help reduces help-seeking behaviors which is important for access to mental health care.
<S> <H> Parental risk factors <POS> <T> Parental stress <H> Parental stress <POS> <T> Household Challenges <E>,Increase in parental risk factors increases parental stress which further exacerbates household challenges.
<S> <H> Family risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Internalized response to trauma <E>,Family risk factors increases adverse childhood experiences (ACEs) that can escalate internalized response to trauma.
<S> <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,Engaging in externalizing behaviors will likely increase chances of getting labeled at school.
<S> <H> Stress of housing insecurity <POS> <T> Economic stressors on families <H> Economic stressors on families <POS> <T> Parental substance use <H> Economic stressors on families <POS> <T> Parental depression <H> Economic stressors on families <POS> <T> Violence in the home <E>,"Stress of housing insecurity increases the economic stressors on families which can further escalate parental substance use, parental depression and violence in the home."
<S> <H> Parent’s substance use <POS> <T> ACEs <E>,Parent’s substance use likely increases the chances of adverse childhood experiences (ACEs).
<S> <H> Employment <POS> <T> Financial Stability <H> Employment <POS> <T> Parental income from employment <H> Employment <NEG> <T> Poverty <E>,Employment increases the financial stability and parental income and reduces the chances of poverty.
<S> <H> Success at school <NEG> <T> School risk factors <E>,Success at school will reduce school risk factors.
<S> <H> Self-harm <POS> <T> Increased willingness to apply pain to one self <H> Increased willingness to apply pain to one self <POS> <T> Capacity for suicide <E>,Self-harm increases the willingness to apply pain to oneself and also capacity for suicide.
<S> <H> Identity is outside the socially accepted norm in the community <NEG> <T> Acceptance of one's identity <H> Acceptance of one's identity <NEG> <T> Identity conflict <E>,When one's' identity is outside the socially accepted norm in the community it highly reduces their acceptance which can further increase identity conflict.
<S> <H> Getting labeled at school <POS> <T> Engaging in externalizing behaviors <E>,Getting labeled at school will increase engaging in externalizing behaviors.
<S> <H> Time and literacy to access resources <POS> <T> Access to care services <E>,Time and literacy to access resources increases the access to care services.
<S> <H> School funding <POS> <T> Education to get jobs <E>,School funding assists in education to get jobs.
<S> <H> Trained teachers on suicide <POS> <T> Externally sought medical help <E>,Increase in the number of trained teachers on suicide increases the externally sought medical help.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,Suicide ideation increases the likelihood of suicide attempt.
<S> <H> Exposure to violence <POS> <T> ACEs <H> Exposure to violence <POS> <T> Neighbourhood risk factors <H> Exposure to violence <POS> <T> Normalization of violence <H> ACEs <POS> <T> Stress <E>,"Exposure to violence increases adverse childhood experiences (ACEs), neighbourhood risk factors and normalization of violence which is a good factor of stress."
<S> <H> Success at school <NEG> <T> School risk factors <E>,Success at school reduces school risk factors.
<S> <H> Impulsivity <POS> <T> Child escalation of conflicts <H> Child escalation of conflicts <POS> <T> Family stress <H> Child escalation of conflicts <POS> <T> Parental escalation of conflicts <E>,Impulsivity increases child's escalation of conflicts which can give rise to family stress and parental escalation of conflicts.
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Suicide ideation <NEG> <T> Self-esteem <H> Suicide ideation <POS> <T> Substance abuse <H> Self-esteem <NEG> <T> Child risk factors <H> Self-esteem <POS> <T> Coping skills/resiliency <H> Substance abuse <POS> <T> Psychological pain <H> Coping skills/resiliency <NEG> <T> (Unhealthy) coping strategies <H> Coping skills/resiliency <NEG> <T> ACEs <H> ACEs <POS> <T> Cumulative trauma <E>,"Suicide ideation reduces self-esteem and escalates mental health disorders and substance abuse. Self-esteem can reduce child's risk factors while enforcing coping skills/resiliency which reduces ACEs and cumulative trauma, on the other hand substance abuse increases psychological pain and reduces unhealthy coping strategies."
<S> <H> Single parent household <NEG> <T> Exposure to violence <H> Exposure to violence <POS> <T> Normalization of violence <E>,Single parent household reduces exposure to violence which normalizes violence.
<S> <H> Parental income from employment <NEG> <T> Lack of family income <H> Lack of family income <POS> <T> Parent engage in illegal activities <H> Parent engage in illegal activities <POS> <T> Arrest of parent <E>,Parental income from employment reduces lack of family income which is a factor for parental engagement in illegal activities and hence arrest of parent.
<S> <H> ACEs <POS> <T> Reactive act of suicide <H> Reactive act of suicide <NEG> <T> Lethality <H> Reactive act of suicide <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Death by suicide <H> Suicide attempt <POS> <T> Survived an attempt <H> Survived an attempt <POS> <T> Therapy <H> Survived an attempt <POS> <T> Removal of access to means <E>,Increasing ACEs increases the reactive act of suicide. Reactive act of suicide decreases lethality and suicide attempt. Higher number of suicide attempt increases death by suicide. Higher number of suicide attempt increases the number of people survived an attempt. Higher number of people survived an attempt increases the need for therapy and removal of access to means.
<S> <H> Suicide planning <POS> <T> Hospitalized <H> Hospitalized <POS> <T> ACEs <H> Hospitalized <POS> <T> Therapy success <E>,More suicide planning leads to higher chance of being hospitalized thereby increasing ACEs and therapy success.
<S> <H> Religiosity <POS> <T> ACEs protective factors <E>,Higher level of religiosity increases ACEs protective factors.
<S> <H> Competencies <POS> <T> Coping Skills/Resilience <H> Competencies <POS> <T> Sense of fulfilment <H> Competencies <NEG> <T> Suicide ideation <E>,"Higher competencies increases coping Skills/Resilience, increases sense of fulfilment and reduces suicide ideation."
<S> <H> Structural racism <POS> <T> Arrest of parent <H> Structural racism <POS> <T> Parent’s incarceration <E>,More structural racism increases the chance of arrest of parent and parent’s incarceration.
<S> <H> Historical trauma <POS> <T> Biological embedding of trauma in the family <H> Historical trauma <POS> <T> Suicide fatality <H> Historical trauma <POS> <T> Suicide ideation <E>,"Having historical trauma increases biological embedding of trauma in the family, suicide fatality, and suicide ideation."
<S> <H> Neighborhood violence <POS> <T> ACEs <H> Neighborhood violence <POS> <T> Unsafe to go outside <H> Unsafe to go outside <POS> <T> Exposure to family stressors <E>,Higher neighborhood violence increases ACEs and risks of being unsafe to go outside thereby increases exposure to family stressors.
<S> <H> Trained teachers on suicide <POS> <T> Externally sought medical help <E>,More trained teachers on suicide increases the rate of externally sought medical help.
<S> <H> Getting labeled at school <POS> <T> Engaging in externalizing behaviors <E>,Getting labeled at school increases the risk of engaging in externalizing behaviors.
<S> <H> Neighbourhood risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Stress <E>,Higher number of neighbourhood risk factors increases ACEs and thereby increasing stress.
<S> <H> Local job opportunities <NEG> <T> Low household income <E>,Higher number of local job opportunities decreases low household income.
<S> <H> Lack of parental coping mechanisms <POS> <T> Parental escalation of conflicts <H> Lack of parental coping mechanisms <POS> <T> Parents' coping via substance use <H> Lack of parental coping mechanisms <POS> <T> Parental frustration <E>,"Lack of parental coping mechanisms leads to parental escalation of conflicts, parents' coping via substance use and parental frustration."
<S> <H> Depression <POS> <T> Suicide ideation <E>,People suffering from depression have a higher risk of suicide ideation.
<S> <H> Ruminative thoughts about dying <POS> <T> Mental health disorders <H> Ruminative thoughts about dying <POS> <T> Reduced fear of death <H> Mental health disorders <POS> <T> Suicide ideation <E>,Having ruminative thoughts about dying can lead to mental health disorders and reduced fear of death. Mental health disorders can lead to suicide ideation.
<S> <H> Supervised internet access <NEG> <T> Ability to identify suicide methods <E>,Higher level of supervised internet access decreases ability to identify suicide methods.
<S> <H> Ability to connect <POS> <T> Protective factors <E>,More ability to connect increases protective factors.
<S> <H> Resilience <NEG> <T> Individual risk factors <H> Individual risk factors <POS> <T> ACEs <E>,"Having higher resilience decreases individual risk factors, Individual risk factors increases ACEs."
<S> <H> Societal risk factors <POS> <T> ACEs <E>,Higher number of societal risk factors increases ACEs.
<S> <H> Late childhood and adolescence <POS> <T> Delayed plan <H> Late childhood and adolescence <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Suicide planning <E>,Children during late childhood and adolescence have a higher chance of delayed plan and suicide attempt. More suicide attempt correlates with more suicide planning.
<S> <H> Neighbourhood violence <POS> <T> ACEs <H> Neighbourhood violence <POS> <T> Feeling of insecurity <E>,Higher level of neighbourhood violence increases ACEs and feeling of insecurity.
<S> <H> ACEs <POS> <T> Suicide attempt <H> ACEs <POS> <T> Suicide ideation <E>,Increasing ACEs can lead to suicide attempt and suicide ideation.
<S> <H> Achieving financial security via home ownership <NEG> <T> Stress of housing insecurity <E>,Achieving financial security via home ownership decreases the stress of housing insecurity.
<S> <H> Community risk factors <POS> <T> Negative environments <H> Negative environments <POS> <T> ACEs <E>,Higher number of community risk factors increases the number of negative environments thereby increasing ACEs.
<S> <H> Access to lethal means <POS> <T> Lethality of method <H> Access to lethal means <POS> <T> Suicide attempt <H> Lethality of method <NEG> <T> Ability to safe life by treatment <E>,Having access to lethal means increases the lethality of method and number of suicide attempt. Lethality of method decreases the ability to safe life by treatment.
<S> <H> Suicide planning <POS> <T> Delayed plan <H> Suicide planning <POS> <T> Suicide attempt <H> Suicide planning <POS> <T> Informing friends of intention <E>,"More suicide planning can lead to delayed plan, increase the number of suicide attempt and chances of informing friends of intention."
<S> <H> Child welfare intervention <POS> <T> Separation from parents <H> Separation from parents <POS> <T> ACEs <E>,Increasing child welfare intervention can lead to separation from parents thereby increasing ACEs.
<S> <H> Child getting help <POS> <T> Ability to express one self <H> Child getting help <POS> <T> Lack of perceived behavior change <H> Child getting help <POS> <T> Problems handling difficult emotions <H> Problems handling difficult emotions <NEG> <T> Therapy success <E>,"Teaching child getting help increases the ability to express oneself, lack of perceived behavior change and problems handling difficult emotions. Having problems handling difficult emotions decreases therapy success."
